ele,x,y,z,flip
-1419.37,-20.76231409,56.12251186,1379.1,1419.37
-1449.59998,-20.74434779,56.12251186,1348.87002,1449.59998
-1524,-20.72638148,56.12251186,1274.47,1524
-1534.58997,-20.70841517,56.12251186,1263.88003,1534.58997
-1488.60999,-20.69044887,56.12251186,1309.86001,1488.60999
-1483.54004,-20.67248256,56.12251186,1314.92996,1483.54004
-1506.53003,-20.65451626,56.12251186,1291.93997,1506.53003
-1485.57996,-20.63654995,56.12251186,1312.89004,1485.57996
-1471.41003,-20.61858365,56.12251186,1327.05997,1471.41003
-1453.34998,-20.60061734,56.12251186,1345.12002,1453.34998
-1445.20996,-20.58265103,56.12251186,1353.26004,1445.20996
-1439.95996,-20.56468473,56.12251186,1358.51004,1439.95996
-1433.31006,-20.54671842,56.12251186,1365.15994,1433.31006
-1431.31995,-20.52875212,56.12251186,1367.15005,1431.31995
-1437.69995,-20.51078581,56.12251186,1360.77005,1437.69995
-1445.56995,-20.49281951,56.12251186,1352.90005,1445.56995
-1453.81006,-20.4748532,56.12251186,1344.65994,1453.81006
-1460.87,-20.45688689,56.12251186,1337.6,1460.87
-1465.56995,-20.43892059,56.12251186,1332.90005,1465.56995
-1468.88,-20.42095428,56.12251186,1329.59,1468.88
-1472.85999,-20.40298798,56.12251186,1325.61001,1472.85999
-1474.71997,-20.38502167,56.12251186,1323.75003,1474.71997
-1476.33997,-20.36705537,56.12251186,1322.13003,1476.33997
-1476.93005,-20.34908906,56.12251186,1321.53995,1476.93005
-1476.97998,-20.33112275,56.12251186,1321.49002,1476.97998
-1480.37,-20.31315645,56.12251186,1318.1,1480.37
-1477.66003,-20.29519014,56.12251186,1320.80997,1477.66003
-1478.43005,-20.27722384,56.12251186,1320.03995,1478.43005
-1479.56006,-20.25925753,56.12251186,1318.90994,1479.56006
-1474.98999,-20.24129123,56.12251186,1323.48001,1474.98999
-1466.39001,-20.22332492,56.12251186,1332.07999,1466.39001
-1465.30005,-20.20535862,56.12251186,1333.16995,1465.30005
-1460.51001,-20.18739231,56.12251186,1337.95999,1460.51001
-1462,-20.169426,56.12251186,1336.47,1462
-1459.95996,-20.1514597,56.12251186,1338.51004,1459.95996
-1460.81995,-20.13349339,56.12251186,1337.65005,1460.81995
-1454.57996,-20.11552709,56.12251186,1343.89004,1454.57996
-1457.60999,-20.09756078,56.12251186,1340.86001,1457.60999
-1459.06006,-20.07959448,56.12251186,1339.40994,1459.06006
-1469.01001,-20.06162817,56.12251186,1329.45999,1469.01001
-1472.91003,-20.04366186,56.12251186,1325.55997,1472.91003
-1466.03003,-20.02569556,56.12251186,1332.43997,1466.03003
-1462.27002,-20.00772925,56.12251186,1336.19998,1462.27002
-1463.35999,-19.98976295,56.12251186,1335.11001,1463.35999
-1466.39001,-19.97179664,56.12251186,1332.07999,1466.39001
-1474.26001,-19.95383034,56.12251186,1324.20999,1474.26001
-1473.90002,-19.93586403,56.12251186,1324.56998,1473.90002
-1471.5,-19.91789772,56.12251186,1326.97,1471.5
-1471.85999,-19.89993142,56.12251186,1326.61001,1471.85999
-1476.70996,-19.88196511,56.12251186,1321.76004,1476.70996
-1477.66003,-19.86399881,56.12251186,1320.80997,1477.66003
-1477.06995,-19.8460325,56.12251186,1321.40005,1477.06995
-1479.56006,-19.8280662,56.12251186,1318.90994,1479.56006
-1485.40002,-19.81009989,56.12251186,1313.06998,1485.40002
-1484.44995,-19.79213358,56.12251186,1314.02005,1484.44995
-1482.05005,-19.77416728,56.12251186,1316.41995,1482.05005
-1485.48999,-19.75620097,56.12251186,1312.98001,1485.48999
-1483.81006,-19.73823467,56.12251186,1314.65994,1483.81006
-1481.55005,-19.72026836,56.12251186,1316.91995,1481.55005
-1483.63,-19.70230206,56.12251186,1314.84,1483.63
-1484.98999,-19.68433575,56.12251186,1313.48001,1484.98999
-1482.31995,-19.66636944,56.12251186,1316.15005,1482.31995
-1484.40002,-19.64840314,56.12251186,1314.06998,1484.40002
-1493.63,-19.63043683,56.12251186,1304.84,1493.63
-1517.17004,-19.61247053,56.12251186,1281.29996,1517.17004
-1537.30005,-19.59450422,56.12251186,1261.16995,1537.30005
-1554.94995,-19.57653792,56.12251186,1243.52005,1554.94995
-1576.31995,-19.55857161,56.12251186,1222.15005,1576.31995
-1598.81006,-19.5406053,56.12251186,1199.65994,1598.81006
-1601.03003,-19.522639,56.12251186,1197.43997,1601.03003
-1586.27002,-19.50467269,56.12251186,1212.19998,1586.27002
-1588.21997,-19.48670639,56.12251186,1210.25003,1588.21997
-1571.46997,-19.46874008,56.12251186,1227.00003,1571.46997
-1564.72998,-19.45077378,56.12251186,1233.74002,1564.72998
-1543.14001,-19.43280747,56.12251186,1255.32999,1543.14001
-1528.30005,-19.41484117,56.12251186,1270.16995,1528.30005
-1523.5,-19.39687486,56.12251186,1274.97,1523.5
-1505.90002,-19.37890855,56.12251186,1292.56998,1505.90002
-1499.06006,-19.36094225,56.12251186,1299.40994,1499.06006
-1485.03003,-19.34297594,56.12251186,1313.43997,1485.03003
