FID,STATE_NM,COUNTY_NM,index,Slope,R,p,Id
0,OHIO,SUMMIT,OHIO_SUMMIT,1.328867596,0.691642389,5.51E-07,0
1,SOUTH DAKOTA,HAAKON,SOUTH DAKOTA_HAAKON,0.732121212,0.497003257,0.000514683,1
2,WISCONSIN,KEWAUNEE,WISCONSIN_KEWAUNEE,1.651765306,0.834372375,9.55E-14,2
3,INDIANA,FULTON,INDIANA_FULTON,2.016942713,0.876900231,1.58E-17,3
4,IOWA,HARDIN,IOWA_HARDIN,1.929795953,0.835693135,1.29E-14,4
5,KANSAS,NEOSHO,KANSAS_NEOSHO,1.245920768,0.636967483,6.59E-07,5
6,NEBRASKA,PAWNEE,NEBRASKA_PAWNEE,1.921356612,0.790081874,3.32E-12,6
7,MISSOURI,RANDOLPH,MISSOURI_RANDOLPH,1.754470588,0.686096024,2.75E-08,7
8,OHIO,PUTNAM,OHIO_PUTNAM,1.71140613,0.774573067,1.62E-11,8
9,WISCONSIN,SAWYER,WISCONSIN_SAWYER,1.324001303,0.632772361,1.40E-06,9
10,WISCONSIN,DOUGLAS,WISCONSIN_DOUGLAS,-0.284210526,-0.10923962,0.656193618,10
11,WISCONSIN,FOREST,WISCONSIN_FOREST,1.200112931,0.354260367,0.105749232,11
12,MICHIGAN,MUSKEGON,MICHIGAN_MUSKEGON,1.743367347,0.855653258,4.83E-15,12
13,MINNESOTA,BECKER,MINNESOTA_BECKER,2.340349544,0.873258132,5.77E-16,13
14,INDIANA,PORTER,INDIANA_PORTER,1.845261675,0.871674401,4.18E-17,14
15,KANSAS,HAMILTON,KANSAS_HAMILTON,0.046542553,0.027690904,0.853415175,15
16,MICHIGAN,OTTAWA,MICHIGAN_OTTAWA,1.855966387,0.858862604,1.50E-15,16
17,MICHIGAN,MANISTEE,MICHIGAN_MANISTEE,1.600483238,0.790830228,2.80E-10,17
18,INDIANA,CARROLL,INDIANA_CARROLL,1.985538462,0.838880149,1.53E-14,18
19,IOWA,O BRIEN,IOWA_O BRIEN,2.308439341,0.907760052,1.69E-20,19
20,KANSAS,MITCHELL,KANSAS_MITCHELL,0.768268908,0.452647026,0.000965125,20
21,ILLINOIS,CLARK,ILLINOIS_CLARK,1.919622449,0.72443369,4.00E-09,21
22,MICHIGAN,BENZIE,MICHIGAN_BENZIE,1.470909091,0.737841085,1.10E-08,22
23,NEBRASKA,PERKINS,NEBRASKA_PERKINS,0.398100401,0.406686441,0.002772893,23
24,KANSAS,STEVENS,KANSAS_STEVENS,1.832203978,0.817694837,2.31E-12,24
25,SOUTH DAKOTA,PERKINS,SOUTH DAKOTA_PERKINS,0.192421603,0.144160508,0.368524309,25
26,INDIANA,PIKE,INDIANA_PIKE,1.605513414,0.683559513,1.65E-07,26
27,IOWA,HANCOCK,IOWA_HANCOCK,1.932468198,0.87521522,2.17E-17,27
28,MICHIGAN,LAPEER,MICHIGAN_LAPEER,1.925399129,0.90614401,2.55E-20,28
29,MINNESOTA,BENTON,MINNESOTA_BENTON,1.849504824,0.791201557,2.94E-12,29
30,MINNESOTA,BELTRAMI,MINNESOTA_BELTRAMI,1.912351826,0.764115731,3.73E-08,30
